,feature,file,folder
880,DR2TMAGN,DR2TOT,Dietary
881,DR2TMFAT,DR2TOT,Dietary
882,DR2TMOIS,DR2TOT,Dietary
883,DR2TNIAC,DR2TOT,Dietary
884,DR2TNUMF,DR2TOT,Dietary
885,DR2TP182,DR2TOT,Dietary
886,DR2TP183,DR2TOT,Dietary
887,DR2TP184,DR2TOT,Dietary
888,DR2TP204,DR2TOT,Dietary
889,DR2TP205,DR2TOT,Dietary
890,DR2TP225,DR2TOT,Dietary
891,DR2TP226,DR2TOT,Dietary
892,DR2TPFAT,DR2TOT,Dietary
893,DR2TPHOS,DR2TOT,Dietary
894,DR2TPOTA,DR2TOT,Dietary
895,DR2TPROT,DR2TOT,Dietary
896,DR2TRET,DR2TOT,Dietary
897,DR2TS040,DR2TOT,Dietary
898,DR2TS060,DR2TOT,Dietary
899,DR2TS080,DR2TOT,Dietary
900,DR2TS100,DR2TOT,Dietary
901,DR2TS120,DR2TOT,Dietary
902,DR2TS140,DR2TOT,Dietary
903,DR2TS160,DR2TOT,Dietary
904,DR2TS180,DR2TOT,Dietary
905,DR2TSELE,DR2TOT,Dietary
906,DR2TSFAT,DR2TOT,Dietary
907,DR2TSODI,DR2TOT,Dietary
908,DR2TSUGR,DR2TOT,Dietary
909,DR2TTFAT,DR2TOT,Dietary
910,DR2TTHEO,DR2TOT,Dietary
911,DR2TVARA,DR2TOT,Dietary
912,DR2TVB1,DR2TOT,Dietary
913,DR2TVB12,DR2TOT,Dietary
914,DR2TVB2,DR2TOT,Dietary
915,DR2TVB6,DR2TOT,Dietary
916,DR2TVC,DR2TOT,Dietary
917,DR2TVK,DR2TOT,Dietary
918,DR2TWS,DR2TOT,Dietary
919,DR2TZINC,DR2TOT,Dietary
920,DRABF,DR2TOT,Dietary
921,DRDINT,DR2TOT,Dietary
922,WTDR2D,DR2TOT,Dietary
923,WTDRD1,DR2TOT,Dietary
1455,DR1_320Z,DR1TOT,Dietary
1456,DR1_330Z,DR1TOT,Dietary
1457,DR1BWATZ,DR1TOT,Dietary
1459,DR1TCHL,DR1TOT,Dietary
1529,BPAARM,BPX,Examination
1530,BPACSZ,BPX,Examination
1531,BPAEN1,BPX,Examination
1532,BPAEN2,BPX,Examination
1533,BPAEN3,BPX,Examination
1535,BPQ150A,BPX,Examination
1536,BPQ150B,BPX,Examination
1537,BPQ150C,BPX,Examination
1538,BPQ150D,BPX,Examination
1541,BPXDI1,BPX,Examination
1542,BPXDI2,BPX,Examination
1543,BPXDI3,BPX,Examination
1545,BPXML1,BPX,Examination
1546,BPXPLS,BPX,Examination
1547,BPXPTY,BPX,Examination
1548,BPXPULS,BPX,Examination
1549,BPXSY1,BPX,Examination
1550,BPXSY2,BPX,Examination
1551,BPXSY3,BPX,Examination
1554,PEASCST1,BPX,Examination
1555,PEASCTM1,BPX,Examination
1556,BMDSTATS,BMX,Examination
1569,BMXARMC,BMX,Examination
1570,BMXARML,BMX,Examination
1571,BMXBMI,BMX,Examination
1574,BMXHT,BMX,Examination
1575,BMXLEG,BMX,Examination
1579,BMXTRI,BMX,Examination
1580,BMXWAIST,BMX,Examination
1581,BMXWT,BMX,Examination
2768,OHAREC,OHXREF,Examination
8143,LBXHA,HEPA,Laboratory
8144,LBDHBG,HEPBD,Laboratory
8145,LBDHD,HEPBD,Laboratory
8146,LBXHBC,HEPBD,Laboratory
8147,LBXHBS,HEPB_S,Laboratory
8164,LBDBANO,CBC,Laboratory
8165,LBDEONO,CBC,Laboratory
8166,LBDLYMNO,CBC,Laboratory
8167,LBDMONO,CBC,Laboratory
8168,LBDNENO,CBC,Laboratory
8169,LBXBAPCT,CBC,Laboratory
8170,LBXEOPCT,CBC,Laboratory
8171,LBXHCT,CBC,Laboratory
8172,LBXHGB,CBC,Laboratory
8173,LBXLYPCT,CBC,Laboratory
8174,LBXMC,CBC,Laboratory
8175,LBXMCHSI,CBC,Laboratory
8176,LBXMCVSI,CBC,Laboratory
8177,LBXMOPCT,CBC,Laboratory
8178,LBXMPSI,CBC,Laboratory
8179,LBXNEPCT,CBC,Laboratory
8180,LBXPLTSI,CBC,Laboratory
8181,LBXRBCSI,CBC,Laboratory
8182,LBXRDW,CBC,Laboratory
8183,LBXWBCSI,CBC,Laboratory
8191,LBXGH,GHB,Laboratory
8198,PHAFSTHR,FASTQX,Laboratory
8199,PHAFSTMN,FASTQX,Laboratory
8204,PHDSESN,FASTQX,Laboratory
8205,PHQ020,FASTQX,Laboratory
8206,PHQ030,FASTQX,Laboratory
8207,PHQ040,FASTQX,Laboratory
8208,PHQ050,FASTQX,Laboratory
8209,PHQ060,FASTQX,Laboratory
8275,URXCRS,ALB_CR,Laboratory
8276,URXUCR,ALB_CR,Laboratory
